TDEP        DTCO       DTSM       PR         TICO       TISS       TVDBML             VP         VPVS       VS
2099.9125977 -9999      -9999      -9999      -9999      -9999      -96.09309290981007 -9999      -9999      -9999     
2122.163   -9999      -9999      -9999      -9999      -9999      -73.84254330353116 -9999      -9999      -9999     
2122.316   -9999      -9999      -9999      -9999      -9999      -73.69020081851885 -9999      -9999      -9999     
2122.468   -9999      -9999      -9999      -9999      -9999      -73.53785833368788 -9999      -9999      -9999     
2122.62    -9999      -9999      -9999      -9999      -9999      -73.3855158490391 -9999      -9999      -9999     
2122.773   -9999      -9999      -9999      -9999      -9999      -73.23292922597391 -9999      -9999      -9999     
2122.925   -9999      -9999      -9999      -9999      -9999      -73.08058674168889 -9999      -9999      -9999     
2123.078   -9999      -9999      -9999      -9999      -9999      -72.92800011898854 -9999      -9999      -9999     
2123.23    -9999      -9999      -9999      -9999      -9999      -72.77565763506651 -9999      -9999      -9999     
2123.383   -9999      -9999      -9999      -9999      -9999      -72.62331515132624 -9999      -9999      -9999     
2123.535   -9999      -9999      -9999      -9999      -9999      -72.47097266776774 -9999      -9999      -9999     
2123.688   -9999      -9999      -9999      -9999      -9999      -72.31838604579629 -9999      -9999      -9999     
2123.84    -9999      -9999      -9999      -9999      -9999      -72.16604356260119 -9999      -9999      -9999     
2123.992   -9999      -9999      -9999      -9999      -9999      -72.01370107958782 -9999      -9999      -9999     
2124.145   -9999      -9999      -9999      -9999      -9999      -71.86135859675709 -9999      -9999      -9999     
2124.297   -9999      -9999      -9999      -9999      -9999      -71.70901611410729 -9999      -9999      -9999     
2124.449   -9999      -9999      -9999      -9999      -9999      -71.55642949304595 -9999      -9999      -9999     
2124.602   -9999      -9999      -9999      -9999      -9999      -71.40408701076039 -9999      -9999      -9999     
2124.754   -9999      -9999      -9999      -9999      -9999      -71.25174452865701 -9999      -9999      -9999     
2124.906   -9999      -9999      -9999      -9999      -9999      -71.09940204673457 -9999      -9999      -9999     
2125.059   -9999      -9999      -9999      -9999      -9999      -70.94681542640218 -9999      -9999      -9999     
2125.211   -9999      -9999      -9999      -9999      -9999      -70.79447294484399 -9999      -9999      -9999     
2125.364   -9999      -9999      -9999      -9999      -9999      -70.64213046346798 -9999      -9999      -9999     
2125.516   -9999      -9999      -9999      -9999      -9999      -70.48978798227374 -9999      -9999      -9999     
2125.669   -9999      -9999      -9999      -9999      -9999      -70.33720136266992 -9999      -9999      -9999     
2125.821   -9999      -9999      -9999      -9999      -9999      -70.1848588818395 -9999      -9999      -9999     
2125.973   -9999      -9999      -9999      -9999      -9999      -70.03251640119173 -9999      -9999      -9999     
2126.126   -9999      -9999      -9999      -9999      -9999      -69.88017392072531 -9999      -9999      -9999     
2126.278   -9999      -9999      -9999      -9999      -9999      -69.72783144044152 -9999      -9999      -9999     
2126.431   -9999      -9999      -9999      -9999      -9999      -69.57524482174877 -9999      -9999      -9999     
2126.583   -9999      -9999      -9999      -9999      -9999      -69.42290234182836 -9999      -9999      -9999     
2126.735   -9999      -9999      -9999      -9999      -9999      -69.27055986209061 -9999      -9999      -9999     
2126.888   -9999      -9999      -9999      -9999      -9999      -69.11821738253465 -9999      -9999      -9999     
2127.04    -9999      -9999      -9999      -9999      -9999      -68.96563076457174 -9999      -9999      -9999     
2127.193   -9999      -9999      -9999      -9999      -9999      -68.81328828537961 -9999      -9999      -9999     
2127.345   -9999      -9999      -9999      -9999      -9999      -68.66094580636968 -9999      -9999      -9999     
2127.497   -9999      -9999      -9999      -9999      -9999      -68.50860332754198 -9999      -9999      -9999     
2127.65    -9999      -9999      -9999      -9999      -9999      -68.35601671030848 -9999      -9999      -9999     
2127.802   -9999      -9999      -9999      -9999      -9999      -68.20367423184506 -9999      -9999      -9999     
2127.955   -9999      -9999      -9999      -9999      -9999      -68.05133175356471 -9999      -9999      -9999     
2128.107   -9999      -9999      -9999      -9999      -9999      -67.89898927546531 -9999      -9999      -9999     
2128.259   -9999      -9999      -9999      -9999      -9999      -67.74664679754851 -9999      -9999      -9999     
2128.412   -9999      -9999      -9999      -9999      -9999      -67.59406018122742 -9999      -9999      -9999     
2128.564   -9999      -9999      -9999      -9999      -9999      -67.44171770367404 -9999      -9999      -9999     
2128.717   -9999      -9999      -9999      -9999      -9999      -67.28937522630416 -9999      -9999      -9999     
2128.869   -9999      -9999      -9999      -9999      -9999      -67.13703274911612 -9999      -9999      -9999     
2129.021   -9999      -9999      -9999      -9999      -9999      -66.98444613352578 -9999      -9999      -9999     
2129.174   -9999      -9999      -9999      -9999      -9999      -66.83210365670202 -9999      -9999      -9999     
