            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING
       1849.67880   1849.68530   1849.62071    183.61560      0.00000     13.08793      0.30837      0.32675      0.33640      0.34104      0.34931      0.33365      0.35111      0.36032      0.36402      0.36829      0.30192      0.31074      0.31587      0.32429      0.34126      0.30734      0.32066      0.32813      0.33422      0.34597      0.35769      0.50099      0.31376      0.32110      0.30737      1.06739     -0.02744      -999.25      0.27970      8.50000      -999.25   2688.00035      4.00000    261.81280      0.38554      0.47527      0.59736      0.58693      0.16958      0.06791      0.17985      0.18916      0.16166
       1849.83120   1849.83118   1849.77309     31.75301      0.00000     14.90281      0.32894      0.35313      0.36811      0.37379      0.37963      0.37117      0.38821      0.39867      0.40264      0.40476      0.29767      0.31640      0.32713      0.33716      0.35747      0.32138      0.34133      0.35454      0.36329      0.37621      0.38582      0.50463      0.33214      0.33784      0.31458      1.07181     -0.02558      -999.25      0.34744      8.50000      -999.25   2686.99959      4.00000    107.73560      0.35500      0.44375      0.59778      0.55694      0.13944      0.03611      0.14874      0.15930      0.12917
       1849.98360   1849.98169   1849.92548     25.49153      0.00000     15.96618      0.38023      0.40623      0.42468      0.43141      0.43423      0.42151      0.43397      0.44276      0.44391      0.43998      0.30066      0.32731      0.34400      0.35462      0.37361      0.34313      0.36707      0.38291      0.39049      0.39992      0.38992      0.52622      0.34025      0.33153      0.37909      1.07766     -0.02553      -999.25      0.38737      8.50000      -999.25   2688.99966      4.00000     69.45935      0.35264      0.43916      0.59430      0.58528      0.13624      0.03194      0.14679      0.15583      0.12694
       1850.13600   1850.13513   1850.07786     22.92494      0.00000     17.64197      0.38023      0.40623      0.42468      0.43141      0.43423      0.42151      0.43397      0.44276      0.44391      0.43998      0.30066      0.32731      0.34400      0.35462      0.37361      0.34313      0.36707      0.38291      0.39049      0.39992      0.41767      0.55281      0.35018      0.32616      0.38565      1.08165     -0.02641      -999.25      0.38457      8.50000      -999.25   2688.99966      4.00000     51.70138      0.35583      0.44181      0.59556      0.58680      0.13930      0.03514      0.14833      0.15722      0.12875
       1850.28840   1850.28796   1850.23025     20.78945      0.00000     17.10069      0.38023      0.40623      0.42468      0.43141      0.43423      0.42151      0.43397      0.44276      0.44391      0.43998      0.30066      0.32731      0.34400      0.35462      0.37361      0.34313      0.36707      0.38291      0.39049      0.39992      0.40918      0.55606      0.37523      0.34485      0.37075      1.08607     -0.02735      -999.25      0.35834      8.50000      -999.25   2688.00035      4.00000     40.71956      0.36125      0.44362      0.59764      0.58806      0.14083      0.03722      0.14972      0.15820      0.13180
       1850.44080   1850.43994   1850.38264     18.72725      0.00000     18.30725      0.47678      0.50502      0.53376      0.55267      0.56452      0.52396      0.54107      0.54791      0.54880      0.55092      0.33897      0.36910      0.39794      0.41838      0.43483      0.42300      0.45469      0.48389      0.50308      0.51616      0.40522      0.58942      0.36387      0.35718      0.40252      1.08862     -0.02735    111.78130      0.32566      8.50000      -999.25   2692.00049      4.00000     34.42259      0.36402      0.44639      0.60001      0.58903      0.14111      0.03848      0.14959      0.15973      0.13222
       1850.59320   1850.59277   1850.53502     17.10640      0.00000     20.99462      0.49688      0.52841      0.55686      0.57660      0.59049      0.55231      0.56973      0.57577      0.57813      0.58464      0.36421      0.38956      0.41875      0.44209      0.45677      0.45112      0.48015      0.50921      0.53006      0.54383      0.46046      0.62335      0.39283      0.34657      0.42924      1.09334     -0.02471    108.51160      0.37501      8.50000      -999.25   2688.99966      4.00000     29.56612      0.36653      0.44708      0.60194      0.59167      0.14125      0.03931      0.15139      0.15971      0.13277
       1850.74560   1850.74475   1850.68741     15.39495      0.00000     24.01104      0.50767      0.53738      0.56131      0.57748      0.59100      0.56520      0.58403      0.59006      0.59196      0.59866      0.40153      0.42527      0.45695      0.48481      0.50068      0.47700      0.50420      0.53196      0.55420      0.56970      0.53946      0.60279      0.44074      0.37898      0.43687      1.09763     -0.02320     94.43582      0.38126      8.50000      -999.25   2690.00042      4.00000     25.95284      0.36764      0.44361      0.60181      0.59125      0.14070      0.03694      0.14902      0.15722      0.13056
       1850.89800   1850.89832   1850.83979     14.17828      0.00000     26.96478      0.52680      0.55255      0.57267      0.58782      0.60295      0.58434      0.60251      0.60708      0.60912      0.61816      0.44460      0.46498      0.49661      0.52605      0.54147      0.50592      0.52904      0.55595      0.57913      0.59469      0.51678      0.61016      0.41924      0.46963      0.49669      1.10465     -0.02059    100.58610      0.43230      8.50000      -999.25   2690.99973      4.00000     22.79724      0.37014      0.44390      0.60126      0.59223      0.13945      0.03682      0.14765      0.15487      0.13112
       1851.05040   1851.04956   1850.99218     13.10891      0.00000     28.01444      0.52939      0.55393      0.57384      0.58929      0.60421      0.58999      0.60934      0.61655      0.62064      0.62985      0.48479      0.50947      0.54307      0.57486      0.59544      0.52625      0.55159      0.57837      0.60061      0.61719      0.59071      0.63628      0.51307      0.57619      0.48696      1.11577     -0.01678    107.59020      0.48230      8.50000      -999.25   2688.99966      4.00000     20.59437      0.36916      0.44416      0.60332      0.59138      0.13778      0.03708      0.14500      0.15347      0.12957
