            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING 
       2194.71240   2194.69434   2194.70612    139.00890      0.00000     11.65848      0.27016      0.37255      0.39105      0.23608      0.21554      0.35360      0.42323      0.40519      0.14746      0.19133      0.26376      0.23750      0.25191      0.27913      0.24501      0.30000      0.28933      0.30000      0.50000      0.45080      0.31823      0.50618      0.31611      0.31762      0.26614      1.05120     -0.03614      -999.25      0.59532      -999.25      -999.25   3199.99952      2.00000      -999.25      0.26653      0.32375      0.43346      0.43218      0.06513      0.00403      0.07292      0.08069      0.05194
       2194.86480   2194.85132   2194.85852    136.42530      0.00000     11.80427      0.27041      0.37377      0.39089      0.23587      0.21545      0.35360      0.42316      0.40518      0.14746      0.19133      0.26360      0.23738      0.25168      0.27864      0.24467      0.30000      0.28932      0.30000      0.50000      0.45080      0.31010      0.50576      0.31667      0.31554      0.29711      1.05293     -0.03518    111.91410      0.57697      -999.25      -999.25   3199.00021      2.00000      -999.25      0.27346      0.32666      0.43563      0.43221      0.07167      0.00347      0.07945      0.08819      0.06388
       2195.01720   2195.00293   2195.01092    133.88890      0.00000     10.82393      0.27031      0.37373      0.39094      0.23625      0.21588      0.35355      0.42299      0.40512      0.14746      0.19134      0.26385      0.23731      0.25139      0.27850      0.24504      0.30000      0.28937      0.30000      0.50000      0.45071      0.32166      0.51750      0.32430      0.31790      0.28945      1.05123     -0.03995     99.60439      0.43629      -999.25      -999.25   3197.00014      2.00000      -999.25      0.28194      0.33458      0.45999      0.43438      0.07819      0.00291      0.08694      0.08736      0.07042
       2195.16960   2195.16138   2195.16332    177.17370      0.00000     10.15529      0.26999      0.37454      0.39195      0.23711      0.21659      0.35351      0.42266      0.40501      0.14746      0.19134      0.26418      0.23710      0.25080      0.27865      0.24641      0.30000      0.28937      0.30000      0.50000      0.45057      0.31828      0.53119      0.31486      0.31939      0.29965      1.05174     -0.04498    112.35360      0.23330      -999.25      -999.25   3197.00014      2.00000      -999.25      0.28868      0.34230      0.46785      0.45910      0.08605      0.00271      0.08647      0.08930      0.07730
       2195.32200   2195.31909   2195.31572    182.92730      0.00000     10.48207      0.26880      0.38459      0.39908      0.23909      0.21734      0.35379      0.42143      0.40471      0.14747      0.19135      0.26272      0.23696      0.25098      0.28160      0.25118      0.30000      0.28893      0.30000      0.50000      0.45036      0.32276      0.52142      0.32191      0.30957      0.29505      1.05524     -0.04189    130.00000      0.30437      -999.25      -999.25   3199.00021      2.00000      -999.25      0.29388      0.34892      0.47499      0.46722      0.08583      0.00278      0.08866      0.08893      0.08541
       2195.47440   2195.47290   2195.46812    180.61280      0.00000     11.08536      0.27011      0.40419      0.40861      0.24158      0.21818      0.35426      0.41980      0.40434      0.14747      0.19136      0.26080      0.23738      0.25239      0.28507      0.25480      0.30000      0.28786      0.30000      0.50000      0.45005      0.32137      0.54110      0.31220      0.31957      0.29802      1.06133     -0.03527      -999.25      0.48484      -999.25      -999.25   3197.00014      2.00000      -999.25      0.29944      0.34902      0.48320      0.47430      0.08797      0.00278      0.08824      0.13070      0.08514
       2195.62680   2195.62378   2195.62051    184.67590      0.00000     12.56843      0.27105      0.41609      0.41487      0.24349      0.21887      0.35467      0.41854      0.40407      0.14747      0.19137      0.25977      0.23770      0.25335      0.28777      0.25781      0.30000      0.28675      0.30000      0.50000      0.44975      0.31251      0.53199      0.32703      0.32294      0.30292      1.06342     -0.02906      -999.25      0.71382      -999.25      -999.25   3197.99945      2.00000      -999.25      0.30500      0.36695      0.49041      0.48250      0.08755      0.00278      0.13000      0.13805      0.08728
       2195.77920   2195.77808   2195.77291    197.39540      0.00000     13.27227      0.27565      0.46333      0.43687      0.24991      0.22108      0.35566      0.41530      0.40339      0.14748      0.19140      0.25832      0.23892      0.25703      0.29562      0.26314      0.30000      0.28391      0.30000      0.50000      0.44902      0.33795      0.54274      0.33543      0.32382      0.29422      1.06250     -0.03188      -999.25      0.66797      -999.25      -999.25   3201.00028      2.00000      -999.25      0.31098      0.37278      0.49944      0.48972      0.12931      0.00279      0.13736      0.14515      0.08686
       2195.93160   2195.93433   2195.92531    216.57160      0.00000     14.66317      0.29482      0.95204      0.55329      0.26808      0.22665      0.35840      0.40708      0.40172      0.14749      0.19147      0.25718      0.24178      0.26529      0.30818      0.26993      0.30000      0.27699      0.30000      0.50000      0.44772      0.35153      0.57245      0.34661      0.34011      0.32028      1.06199     -0.03332      -999.25      0.64052      -999.25      -999.25   3199.99952      2.00000  29378.95000      0.31694      0.37490      0.50763      0.49874      0.13665      0.00277      0.14444      0.14729      0.12861
       2196.08400   2196.08740   2196.07771    120.60180      0.00000     15.54655      0.35410      0.38811      0.41478      0.42978      0.44153      0.42127      0.43883      0.44958      0.45395      0.45682      0.30004      0.32157      0.33522      0.34732      0.36962      0.34841      0.37514      0.39701      0.41330      0.43152      0.35389      0.57319      0.34572      0.34520      0.33670      1.05814     -0.03892      -999.25      0.55169      8.50000      -999.25   3201.00028      2.00000    634.07400      0.32041      0.37435      0.51638      0.50694      0.14375      0.00875      0.14660      0.14694      0.13596
       2196.23640   2196.23364   2196.23011     31.85304      0.00000     17.40668      0.41602      0.45443      0.48831      0.51047      0.52571      0.48654      0.50724      0.51984      0.52356      0.52718      0.30934      0.33293      0.35436      0.37182      0.39039      0.38574      0.41848      0.44800      0.46914      0.48776      0.38027      0.58858      0.36194      0.35998      0.35616      1.06483     -0.03707    114.82220      0.62833      8.50000      -999.25   3201.00028      2.00000    166.67430      0.32889      0.37382      0.51834      0.51570      0.14591      0.04375      0.14625      0.17084      0.14306
