TDEP        DTCO       DTSM       PR         TICO       TISS       VP         VPVS       VS
2153.2592  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2153.4116  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2153.564   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2153.7164  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2153.8688  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2154.0212  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2154.1736  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2154.326   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2154.4784  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2154.6308  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2154.7832  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2154.9356  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2155.088   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2155.2404  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2155.3928  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2155.5452  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2155.6976  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2155.85    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2156.0024  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2156.1548  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2156.3072  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2156.4596  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2156.612   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2156.7644  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2156.9168  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2157.0692  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2157.2216  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2157.374   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2157.5264  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2157.6788  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2157.8312  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2157.9836  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
